Date,Open,High,Low,Close,Adj Close,Volume
1970-11-03,5.355954,5.473238,5.348135,5.441962,1.152092,527567
1970-11-04,5.441962,5.567065,5.418506,5.496695,1.163678,735396
1970-11-05,5.473238,5.473238,5.418506,5.434143,1.150436,481205
1970-11-06,5.434143,5.457600,5.418506,5.426325,1.148781,402869
1970-11-09,5.426325,5.496695,5.426325,5.441962,1.152092,690633
1970-11-10,5.441962,5.465419,5.426325,5.449781,1.153747,588317
1970-11-11,5.449781,5.481057,5.426325,5.434143,1.150436,415659
1970-11-12,5.434143,5.434143,5.348135,5.355954,1.133883,486001
1970-11-13,5.348135,5.348135,5.277765,5.316860,1.125608,844107
1970-11-16,5.316860,5.355954,5.293403,5.301222,1.122296,561139
1970-11-17,5.316860,5.363773,5.316860,5.316860,1.125608,468416
1970-11-18,5.316860,5.355954,5.316860,5.324679,1.127262,1037549
1970-11-19,5.324679,5.387230,5.324679,5.363773,1.135539,415659
1970-11-20,5.363773,5.395049,5.355954,5.395049,1.142160,442837
1970-11-23,5.395049,5.465419,5.379411,5.402868,1.143814,802541
1970-11-24,5.402868,5.441962,5.395049,5.441962,1.152092,406067
1970-11-25,5.441962,5.488876,5.441962,5.465419,1.157058,733798
1970-11-27,5.465419,5.504514,5.465419,5.473238,1.158714,401271
1970-11-30,5.473238,5.527970,5.465419,5.527970,1.170300,524370
1970-12-01,5.527970,5.559246,5.441962,5.473238,1.158714,735396
1970-12-02,5.473238,5.559246,5.441962,5.543608,1.173611,1226194
1970-12-03,5.543608,5.543608,5.457600,5.488876,1.162024,804140
1970-12-04,5.488876,5.520152,5.465419,5.473238,1.158714,420455
1970-12-07,5.473238,5.488876,5.457600,5.488876,1.170721,778561
1970-12-08,5.488876,5.496695,5.457600,5.465419,1.165718,516376
1970-12-09,5.465419,5.535789,5.434143,5.535789,1.180727,995983
1970-12-10,5.567065,5.629616,5.567065,5.621797,1.199071,781758
1970-12-11,5.645254,5.707805,5.645254,5.692168,1.214081,735396
1970-12-14,5.692168,5.770357,5.668711,5.684349,1.212413,673048
1970-12-15,5.684349,5.692168,5.613978,5.668711,1.209078,446034
1970-12-16,5.668711,5.676530,5.621797,5.676530,1.210745,300553
1970-12-17,5.676530,5.715624,5.660892,5.707805,1.217417,398073
1970-12-18,5.707805,5.778176,5.684349,5.739081,1.224087,752982
1970-12-21,5.739081,5.746900,5.590522,5.621797,1.199071,412462
1970-12-22,5.621797,5.723443,5.574884,5.692168,1.214081,1034351
1970-12-23,5.692168,5.754719,5.676530,5.731262,1.222418,1011970
1970-12-24,5.731262,5.731262,5.660892,5.676530,1.210745,385284
1970-12-28,5.676530,5.676530,5.582703,5.629616,1.200739,541955
1970-12-29,5.653073,5.754719,5.653073,5.746900,1.225756,764173
1970-12-30,5.746900,5.801632,5.731262,5.778176,1.232425,832916
1970-12-31,5.832908,5.911097,5.832908,5.872003,1.252438,367698
1971-01-04,5.872003,5.911097,5.832908,5.872003,1.252438,433244
1971-01-05,5.872003,5.903278,5.832908,5.903278,1.259108,233408
1971-01-06,5.903278,5.911097,5.825089,5.848546,1.247435,418856
1971-01-07,5.848546,5.872003,5.817270,5.872003,1.252438,386882
1971-01-08,5.864184,5.864184,5.832908,5.856365,1.249103,302152
1971-01-11,5.856365,5.872003,5.832908,5.864184,1.250770,557942
1971-01-12,5.864184,5.887640,5.856365,5.872003,1.252438,396475
1971-01-13,5.872003,5.887640,5.848546,5.856365,1.249103,493995
1971-01-14,5.856365,5.942373,5.840727,5.911097,1.260776,540357
1971-01-15,5.911097,5.973648,5.903278,5.958011,1.270783,677844
1971-01-18,5.958011,5.965829,5.942373,5.958011,1.270783,471613
1971-01-19,5.958011,5.997105,5.958011,5.997105,1.279120,322935
1971-01-20,5.997105,6.036200,5.997105,6.028381,1.285792,366100
1971-01-21,6.028381,6.278586,6.012743,6.262948,1.335823,1392457
1971-01-22,6.474059,6.536610,6.474059,6.489697,1.384186,1357286
1971-01-25,6.489697,6.653894,6.395870,6.599161,1.407534,2163025
1971-01-26,6.560067,6.560067,6.474059,6.474059,1.380850,840910
1971-01-27,6.294224,6.294224,6.200397,6.262948,1.335823,1785734
1971-01-28,6.262948,6.270767,6.176940,6.247310,1.332487,776962
1971-01-29,6.223854,6.223854,6.153483,6.208216,1.324149,770568
1971-02-01,6.208216,6.567886,6.200397,6.552248,1.397527,1677024
1971-02-02,6.520972,6.520972,6.380232,6.419326,1.369176,1323714
1971-02-03,6.419326,6.505334,6.419326,6.442783,1.374180,1189424
1971-02-04,6.442783,6.505334,6.403689,6.474059,1.380850,818528
1971-02-05,6.474059,6.552248,6.427145,6.474059,1.380850,986390
1971-02-08,6.474059,6.622618,6.411507,6.583523,1.404198,1163845
1971-02-09,6.583523,6.606980,6.505334,6.505334,1.387521,727403
1971-02-10,6.505334,6.567886,6.466240,6.552248,1.397527,807337
1971-02-11,6.552248,6.583523,6.536610,6.536610,1.394192,831318
1971-02-12,6.536610,6.685169,6.536610,6.669532,1.422543,1088707
1971-02-16,6.661713,6.661713,6.583523,6.614799,1.410868,754581
1971-02-17,6.575705,6.575705,6.505334,6.505334,1.387521,641074
1971-02-18,6.505334,6.560067,6.489697,6.520972,1.390856,717811
1971-02-19,6.520972,6.528791,6.466240,6.474059,1.380850,532363
1971-02-22,6.466240,6.466240,6.411507,6.442783,1.374180,639475
1971-02-23,6.442783,6.536610,6.434964,6.481878,1.382519,660258
1971-02-24,6.513153,6.630437,6.513153,6.591342,1.405865,933634
1971-02-25,6.614799,6.786815,6.614799,6.763358,1.442554,1259766
1971-02-26,6.763358,6.771177,6.677350,6.763358,1.442554,685837
1971-03-01,6.755540,6.755540,6.692988,6.732083,1.435883,509981
1971-03-02,6.732083,6.810272,6.708626,6.763358,1.442554,575528
1971-03-03,6.763358,6.802453,6.724264,6.778996,1.454635,588317
1971-03-04,6.778996,6.865004,6.763358,6.841548,1.468057,575528
1971-03-05,6.880642,6.990107,6.880642,6.904099,1.481479,1155851
1971-03-08,6.904099,6.911918,6.833729,6.896280,1.479802,476409
1971-03-09,6.896280,6.919737,6.755540,6.755540,1.449601,449231
1971-03-10,6.771177,6.818091,6.771177,6.794634,1.457991,340521
1971-03-11,6.794634,6.841548,6.739902,6.739902,1.446246,617094
1971-03-12,6.747721,6.794634,6.747721,6.794634,1.457991,828120
1971-03-15,6.794634,7.005745,6.771177,6.943193,1.489868,869686
1971-03-16,6.943193,7.037020,6.904099,6.911918,1.483157,634679
1971-03-17,6.911918,6.935375,6.865004,6.911918,1.483157,465218
1971-03-18,6.911918,6.958831,6.880642,6.904099,1.481479,329330
1971-03-19,6.904099,6.966650,6.904099,6.927556,1.486513,618692
1971-03-22,6.927556,6.935375,6.857185,6.904099,1.481479,321336
1971-03-23,6.904099,6.951012,6.872823,6.951012,1.491545,1841689
1971-03-24,6.951012,6.958831,6.896280,6.919737,1.484835,508383
1971-03-25,6.919737,6.951012,6.841548,6.951012,1.491545,700225
1971-03-26,6.982288,7.037020,6.982288,6.990107,1.499935,605903
1971-03-29,6.990107,7.068296,6.958831,7.005745,1.503289,799344
1971-03-30,7.005745,7.005745,6.966650,6.990107,1.499935,458823
1971-03-31,7.005745,7.060477,7.005745,7.005745,1.503289,433244
1971-04-01,7.005745,7.044839,6.990107,7.021383,1.506646,399672
1971-04-02,7.021383,7.068296,6.974469,6.982288,1.498258,663456
1971-04-05,6.982288,7.044839,6.951012,7.037020,1.510001,508383
1971-04-06,7.037020,7.287226,7.013564,7.263769,1.558657,1306128
1971-04-07,7.263769,7.318501,7.216855,7.318501,1.570401,687436
1971-04-08,7.318501,7.334139,7.240312,7.302863,1.567047,1509161
1971-04-12,7.365415,7.404509,7.365415,7.404509,1.588857,772166
1971-04-13,7.404509,7.443604,7.388871,7.412328,1.590535,358106
1971-04-14,7.412328,7.506155,7.365415,7.506155,1.610667,671449
1971-04-15,7.506155,7.560887,7.443604,7.459242,1.600602,876081
1971-04-16,7.459242,7.490517,7.420147,7.474879,1.603957,601107
1971-04-19,7.474879,7.506155,7.451423,7.474879,1.603957,561139
1971-04-20,7.459242,7.459242,7.412328,7.420147,1.592213,404468
1971-04-21,7.420147,7.545250,7.420147,7.529612,1.615702,864890
1971-04-22,7.529612,7.545250,7.443604,7.529612,1.615702,1147858
1971-04-23,7.529612,7.756360,7.506155,7.709447,1.654290,1021562
1971-04-26,7.709447,7.717266,7.576525,7.576525,1.625767,613896
1971-04-27,7.576525,7.678171,7.490517,7.662533,1.644223,641074
1971-04-28,7.662533,7.764179,7.631258,7.756360,1.664358,751383
1971-04-29,7.756360,7.779817,7.717266,7.740722,1.661002,559541
1971-04-30,7.740722,7.748541,7.615620,7.685990,1.649256,434843
1971-05-03,7.678171,7.678171,7.553069,7.623439,1.635836,460422
1971-05-04,7.623439,7.623439,7.584344,7.599982,1.630802,455626
1971-05-05,7.599982,7.623439,7.545250,7.607801,1.632480,473212
1971-05-06,7.599982,7.599982,7.537431,7.537431,1.617380,506784
1971-05-07,7.537431,7.584344,7.529612,7.560887,1.622413,831318
1971-05-10,7.560887,7.560887,7.474879,7.553069,1.620735,549949
1971-05-11,7.553069,7.599982,7.513974,7.576525,1.625767,596311
1971-05-12,7.576525,7.599982,7.521793,7.521793,1.614024,318139
1971-05-13,7.545250,7.623439,7.545250,7.615620,1.634157,386882
1971-05-14,7.607801,7.607801,7.537431,7.553069,1.620735,569133
1971-05-17,7.537431,7.537431,7.295044,7.302863,1.567047,831318
1971-05-18,7.302863,7.443604,7.193399,7.334139,1.573758,1058331
1971-05-19,7.349777,7.498336,7.349777,7.498336,1.608990,314942
1971-05-20,7.568706,7.771998,7.568706,7.607801,1.632480,1023160
1971-05-21,7.599982,7.599982,7.545250,7.592163,1.629123,799344
1971-05-24,7.592163,7.623439,7.576525,7.592163,1.629123,593113
1971-05-25,7.592163,7.623439,7.443604,7.537431,1.617380,1103095
1971-05-26,7.537431,7.560887,7.451423,7.451423,1.598924,529166
1971-05-27,7.451423,7.490517,7.443604,7.459242,1.600602,185448
1971-05-28,7.459242,7.498336,7.420147,7.498336,1.608990,338922
1971-06-01,7.498336,7.568706,7.443604,7.568706,1.624091,378889
1971-06-02,7.576525,7.623439,7.576525,7.592163,1.629123,852101
1971-06-03,7.592163,7.646895,7.592163,7.639077,1.639191,698627
1971-06-04,7.639077,7.678171,7.639077,7.678171,1.647579,410863
1971-06-07,7.678171,7.748541,7.646895,7.725085,1.657646,422054
1971-06-08,7.678171,7.678171,7.459242,7.459242,1.600602,743390
1971-06-09,7.459242,7.506155,7.224674,7.443604,1.597246,497192
1971-06-10,7.443604,7.615620,7.412328,7.584344,1.627446,392478
1971-06-11,7.584344,7.693809,7.537431,7.678171,1.647579,453228
1971-06-14,7.678171,7.678171,7.568706,7.568706,1.624091,223017
1971-06-15,7.553069,7.553069,7.396690,7.396690,1.587179,383685
1971-06-16,7.396690,7.631258,7.381052,7.537431,1.617380,402070
1971-06-17,7.537431,7.678171,7.490517,7.568706,1.633580,545153
1971-06-18,7.568706,7.584344,7.443604,7.443604,1.606579,422054
1971-06-21,7.443604,7.459242,7.271588,7.271588,1.569452,676245
1971-06-22,7.271588,7.443604,7.271588,7.349777,1.586328,565936
1971-06-23,7.349777,7.506155,7.318501,7.412328,1.599828,573130
1971-06-24,7.412328,7.412328,7.224674,7.318501,1.579578,356507
1971-06-25,7.318501,7.365415,7.271588,7.334139,1.582953,230211
1971-06-28,7.334139,7.349777,7.271588,7.318501,1.579578,292560
1971-06-29,7.349777,7.490517,7.349777,7.443604,1.606579,378090
1971-06-30,7.443604,7.599982,7.412328,7.599982,1.640331,637077
1971-07-01,7.599982,7.693809,7.553069,7.615620,1.643706,562738
1971-07-02,7.615620,7.615620,7.553069,7.584344,1.636954,288563
1971-07-06,7.584344,7.662533,7.553069,7.615620,1.643706,350113
1971-07-07,7.615620,7.709447,7.599982,7.631258,1.647080,434044
1971-07-08,7.631258,7.693809,7.631258,7.693809,1.660583,349313
1971-07-09,7.693809,7.725085,7.646895,7.662533,1.653830,322935
1971-07-12,7.662533,7.693809,7.615620,7.631258,1.647080,496393
1971-07-13,7.615620,7.615620,7.381052,7.490517,1.616706,529166
1971-07-14,7.381052,7.381052,7.255950,7.349777,1.586328,2055113
1971-07-15,7.349777,7.396690,7.271588,7.318501,1.579578,452429
1971-07-16,7.318501,7.334139,7.021383,7.052658,1.522200,909653
